imdbid,year,binary,Country,Production,Rated,Genre,Writers F,Writers M,Director
tt0058385,1964,T,USA,Warner Bros. Pictures,G,Drama,0,3,M
tt0058461,1964,F,Italy,MGM Home Entertainment,R,Western,0,4,M
tt0058331,1964,T,USA,Walt Disney Productions,G,Comedy,0,0,M
tt0058450,1964,T,France,Zeitgeist Films,NOT RATED,Drama,0,0,M
tt0058708,1964,T,USA,MGM Home Entertainment,APPROVED,Biography,1,1,M
tt0058430,1964,F,Japan,Toho Company Ltd.,NOT RATED,Drama,0,0,M
tt0058658,1964,T,France,N/A,N/A,Thriller,0,2,M
tt0058544,1964,T,Japan,N/A,NOT RATED,Action,0,0,M
tt0058182,1964,F,UK,Miramax,G,Comedy,0,0,M
tt0058329,1964,T,USA,MCA Universal Home Video,PG,Crime,0,2,M
tt0057997,1964,T,USA,Warner Bros. Pictures,UNRATED,Crime,0,2,M
tt0057918,1964,F,UK,Governor Films Inc.,NOT RATED,Comedy,0,1,M
tt0058263,1964,F,UK,Allied Artists Pictures,NOT RATED,Drama,0,2,M
tt0058725,1964,F,USA,MGM,APPROVED,Comedy,0,0,M
tt0058139,1964,F,East Germany,Deutsche Film (DEFA),N/A,Drama,0,0,M
tt0057878,1964,F,USA,MCA Universal Home Video,N/A,Comedy,0,2,M
tt0057259,1964,F,UK,Sony Pictures Entertainment,NOT RATED,Adventure,0,0,M
tt0057933,1964,T,UK,MCA Universal Home Video,N/A,Drama,0,1,M
tt0058409,1964,T,Japan,Criterion Collection,NOT RATED,Drama,0,0,M
tt0058586,1964,F,UK,MGM Home Entertainment,PG,Comedy,0,4,M
tt0058379,1964,F,Japan,Simitar,UNRATED,Action,0,0,M
tt0057840,1964,F,USA,WARNER BROTHERS PICTURES,APPROVED,Comedy,0,1,M
tt0058335,1964,T,Italy,Kino Lorber,NOT RATED,Comedy,0,2,M
tt0058715,1964,F,Italy,Water Bearer Films Inc.,NOT RATED,Biography,0,0,M
tt0058083,1964,F,USA,Sony Pictures Home Entertainment,NOT RATED,Drama,0,2,F
tt0058700,1964,F,Italy,MGM,NOT RATED,Horror,0,3,M
tt0057869,1964,T,France,Royal Films International,NOT RATED,Comedy,0,0,M
tt0057887,1964,F,USA,James H. Nicholson Productions,APPROVED,Comedy,0,3,M
tt0058536,1964,F,USA,Artisan Entertainment,TV-G,Animation,0,3,M
tt0058100,1964,F,UK,Sony Pictures Entertainment,APPROVED,Adventure,0,2,M
tt0058324,1964,F,USA,MCA Universal Home Video,APPROVED,Comedy,0,2,M
tt0058003,1964,T,Italy,Janus Films,NOT RATED,Drama,0,0,M
tt0058659,1964,F,USA,American International Pictures (AIP),NOT RATED,Sci-Fi,0,1,M
tt0058695,1964,T,Spain,United International Pictures (UIP),N/A,Drama,0,4,M
tt0059212,1965,F,Japan,N/A,N/A,Animation,0,1,M
tt0059793,1965,T,USA,Walt Disney Productions,APPROVED,Comedy,0,2,M
tt0059170,1965,T,USA,Eve Productions,NOT RATED,Action,0,0,M
tt0059742,1965,T,USA,20th Century-Fox,G,Biography,0,3,M
tt0059956,1965,T,France,United Artists,NOT RATED,Adventure,0,1,M
tt0059080,1965,F,Japan,Mill Creek Entertainment,N/A,Horror,0,0,M
tt0059348,1965,F,India,R.D.Banshal &amp; Co.,N/A,Drama,0,0,M
tt0059100,1965,T,UK,N/A,APPROVED,Horror,0,0,M
tt0059314,1965,T,USA,Warner Bros.,APPROVED,Drama,0,2,M
tt0059229,1965,T,Italy,Criterion Collection,NOT RATED,Comedy,0,0,M
tt0059607,1965,T,UK,N/A,N/A,Drama,0,0,M
tt0058997,1965,T,UK,Sony Pictures Entertainment,NOT RATED,Mystery,1,1,M
tt0059800,1965,F,UK,United Artists,PG,Action,0,6,M
tt0059578,1965,F,Italy,MGM Home Entertainment,R,Western,0,3,M
tt0059646,1965,T,UK,Royal Films International,NOT RATED,Drama,0,2,M
tt0059205,1965,F,Japan,American International Picture,UNRATED,Horror,1,2,M
tt0059764,1965,T,UK,Columbia Pictures,N/A,Crime,0,3,M
tt0058898,1965,F,France,Rialto Pictures,NOT RATED,Drama,0,0,M
tt0059084,1965,T,UK,Lionsgate,TV-MA,Drama,0,2,M
tt0059319,1965,F,UK,Universal Pictures,NOT RATED,Thriller,0,1,F
tt0059183,1965,F,USA,20th Century Fox Film Corporation,NOT RATED,Adventure,0,2,M
tt0059113,1965,F,USA,MGM,PG-13,Drama,0,1,M
tt0058361,1965,T,Soviet Union,N/A,N/A,Drama,0,0,M
